permno,car,event_date,PQS,VOL,EXCH
89216,-0.024,20160503,-0.269936374,-0.381565785,N
89217,0.016,20150709,-0.063476728,0.086248569,N
89258,-0.006,20020722,0.198245601,-0.024162086,N
89269,-0.055,20160330,0.064965501,0.012641787,N
89301,0.06,20071214,-0.058821723,0.228712831,N
89393,-0.148,20101220,0.003870056,-0.023139473,Q
89463,0.033,20041027,-0.070403187,0.557578289,N
89508,-0.011,20100628,0.005431595,0.131509538,N
89509,0.027,20140623,-0.122569036,0.013220297,N
89533,0.052,20081114,-0.247298441,-0.109355997,Q
89565,0.027,20150921,-0.0226841,-0.409482683,Q
89626,-0.074,20060811,-0.037014805,0.079633444,N
89757,0.305,20050328,-1.117914946,0.851943206,Q
89866,-0.037,20160523,-0.068345211,-0.032013013,Q
89954,0.096,20061204,-0.194513696,0.45073833,N
90038,0.069,20070410,0.911063407,-0.157530771,N
90071,-0.01,20100129,-0.137100213,0.3321179,N
90162,0.04,20051202,-0.146770753,-0.436931771,N
90199,0.132,20061110,-0.252656148,-0.055490519,N
90215,-0.062,20080915,0.589724866,0.676069726,N
90319,0.162,20060403,0.909732089,-0.4717003,Q
90352,-0.209,20001003,5.711480175,1.286945161,N
90386,-0.286,20110926,0.176730778,-0.154913086,N
90442,0.071,20150921,0.031935935,-0.223170279,Q
90547,-0.121,20110602,0.175103692,0.201916652,N
90601,0.345,20081022,-0.662330394,0.040589058,Q
90805,0.044,20100301,-0.277298378,0.559572903,Q
90808,0.087,20071002,-0.104415322,-0.015435891,Q
90829,-0.004,20080827,0.472773221,0.848766829,N
90979,-0.171,20140501,0.501049563,0.696352451,N
90993,0.102,20070926,-0.274830487,-0.350692506,N
91068,-0.098,20110428,-0.376958039,-0.275008168,N
91103,0.069,20150903,-0.205190891,0.135864622,N
91143,0.167,20071025,-0.368810116,-0.130585179,N
91152,0.024,20160603,-0.36291273,-0.282211991,N
91233,-0.201,20080718,0.395718899,0.154366125,N
91416,0.039,20150323,0.682859807,2.239740132,N
91547,0.066,20091221,-0.080101497,0.412752168,N
91556,-0.019,20091221,-0.359162724,0.277254076,Q
91611,-0.164,20091016,-0.421021095,-0.371757443,Q
91668,-0.044,20180307,-0.14163622,-0.252202511,Q
91883,0.009,20090330,-0.506205572,0.834580908,N
91926,0.09,20130911,-0.231267446,0.242102752,N
91937,-0.159,20090630,-0.410228395,2.058337771,N
92239,-0.017,20160222,-0.405999481,-0.249864607,N
92322,0.095,20160418,-0.201800875,-0.380883855,Q
92402,-0.055,20180404,-0.176247699,0.093056853,N
92611,0.014,20091221,-0.143417291,-0.141593821,N
92614,-0.027,20160304,-0.19952313,0.179014839,N
92772,0.086,20160513,-0.381791892,0.163088533,Q
92778,0.078,20140807,-0.167195155,3.157393174,Q
92890,-0.058,20091221,-0.597244099,0.68970372,N
93089,0.013,20151008,-0.401137051,0.805367583,Q
93096,-0.1,20121203,-0.002673752,0.084726222,N
93429,0.006,20170301,0.048106442,0.477600711,Q
