gvkey,year,leverage,mtbe,own
2282,1993,0,2.562344479,.014209788
10301,1993,.163043478,2.895580561,.00089982926
3170,1993,.265986253,5.030749689,.0036548001
9114,1993,.296574546,1.691224583,.0011754832
9203,1993,.104015134,2.692841428,.0012535295
7745,1993,.203819151,.916197637,.16128026
10669,1993,.1575845,1.475461375,.00034920618
4510,1993,.266557014,7.861518077,.001598137
11462,1993,.232517431,1.052158592,0
4073,1993,.084653615,3.099063427,.0023354602
3835,1993,.224499863,3.167272226,.00039825984
2159,1993,.522942811,1.666807969,.030826433
2403,1993,.048591026,5.01995362,.0025271983
11264,1993,.006589247,3.470086422,.0049177832
1609,1993,.141718739,1.920761279,.00016344851
2285,1993,.127775061,1.637645386,.000038109305
2443,1993,.293422676,1.817110975,.079513013
10795,1993,.274844237,3.058034101,.010873922
1762,1993,.264707407,3.620883266,.00070307899
7180,1993,.328682915,1.687785171,.0011771768
9548,1993,.260539341,2.29034928,.16793752
5735,1993,.205309224,1.482637733,.0037841671
3580,1993,.14184623,2.54147511,.034430742
2255,1993,.389635823,1.842183502,.00032699699
2554,1993,.173527432,5.617048847,.024228796
2555,1993,.195591178,1.207452082,.018984662
8202,1993,.231118969,2.276569298,.0011295571
1078,1993,.039908597,6.619441151,.00053344655
7077,1993,.191038324,2.269572287,.0010719795
2787,1993,.271447257,2.017094628,.00087716006
4060,1993,.231405607,1.93889476,.00029128266
2529,1993,.172667973,3.925423947,.19565457
5018,1993,.357388316,1.873420213,.00096939807
3255,1993,.328516917,1.108791541,.000078348166
4961,1993,.313144919,3.51314807,.00006421563
1045,1993,.3908724,1.589546166,.00034830382
4218,1993,.182338793,1.60815414,.036135979
5109,1993,.332555449,1.105836155,.015255654
4622,1993,.16073182,2.805137601,.0041269842
1786,1993,.347937731,1.681027104,.00036199548
6774,1993,.284231671,1.751535817,.00016709229
7881,1993,.161832756,6.436193146,.0010546102
11296,1993,.291035756,2.055250424,.0013010555
3015,1993,0,.798709382,.24082547
7574,1993,.10451843,.997010379,.0026861385
4600,1993,.296098467,3.067199713,.0014516239
2917,1993,.362709044,1.052413073,.0006323501
9810,1993,.230604136,1.846141108,.0015755526
6104,1993,.21652336,1.348339277,.0017002061
8539,1993,.334935774,1.571710907,.00012917351
5742,1993,.346943741,1.900623267,.00047038475
3419,1993,.214184228,2.006907636,.0004848172
5870,1993,.330778286,1.700653678,.00041129839
8530,1993,.06114094,5.728526193,.00021917575
3497,1993,.175480567,1.905321203,.0022551673
2846,1993,.847213376,-4.931483268737793,.0012560908
7773,1993,.026131182,1.79511962,.00010088577
14152,1993,.39208713,1.321150695,.023983652
2854,1993,.059137485,1.491300195,.0024638074
8325,1993,.285618779,1.711095101,.0036583333
4321,1993,.056049651,3.379970275,.0026939455
6266,1993,.121957197,5.182071188,.00018255389
5505,1993,.511997946,2.051955558,.00056035805
3532,1993,.303075482,3.332428521,.0058913222
6837,1993,.270159011,2.035764465,.000057900146
4800,1993,.331028054,1.648650096,.0001041564
8247,1993,.136954791,3.277894495,.00073547708
8455,1993,.294931654,1.693257785,.000075782875
5079,1993,.264266827,1.359364852,.00003489697
7435,1993,.06526195,3.58612811,.00023255673
8804,1993,.279806782,1.640091104,.00033213687
3041,1993,.14747807,6.246435224,.011363712
7257,1993,.056243884,4.301068244,.0007207609
2938,1993,.026889909,2.262885463,.041620385
7585,1993,.100755668,4.010118583,.00021643106
9411,1993,.107162585,3.383020417,.0031304292
7254,1993,.133842229,1.091651882,.00013945292
8099,1993,.340790799,1.547254994,.000021151085
5568,1993,.270641355,3.488263065,.013171273
9445,1993,.352528111,1.73984768,.00031422812
2783,1993,.315462284,1.839661369,.00037382185
3439,1993,.362000508,2.216907173,.001296744
5643,1993,.415956333,2.74803634,.24572535
6127,1993,.231325377,2.92021566,.003277069
3011,1993,.343786941,5.255458185,.010479812
1430,1993,.056839587,3.302237381,.00035973129
3026,1993,.027131301,3.349127929,.026567187
14824,1993,.01738267,1.382076969,.0057570664
7837,1993,.328545052,1.661549395,.0003142835
8694,1993,.39267015,1.611641773,.00040712915
11550,1993,.304572058,1.754447603,.0001118591
10519,1993,.396191959,1.863532078,.00014217834
3062,1993,.167820235,4.723144853,.28752878
8810,1993,.325592346,1.518992037,.00013555858
5877,1993,.355187951,1.265881729,.00012433619
5439,1993,.110584664,1.926650156,.00083260296
6825,1993,.290126375,1.832389488,.00051772059
2847,1993,.258678871,1.944963027,.00032355299
5134,1993,.394215268,2.583677664,.00086408405
3082,1993,.008488286,1.13294853,.15078387
7977,1993,.231197726,1.577856398,.00030094202
9217,1993,.195800227,3.084197318,.00089197012
3848,1993,.294538441,1.611973075,.00016435771
7366,1993,.335661539,1.273535153,.00012624341
7862,1993,.309064453,1.343585462,.00013674996
1440,1993,.338019716,1.649886154,5.1534935e-06
7892,1993,.345958849,1.174104557,5.8275464e-06
8805,1993,.306362443,2.151919638,.00040666197
4517,1993,.286663328,1.813471975,.00069365377
1995,1993,.353465836,1.414080212,.00050302671
7437,1993,.358402632,1.816537214,.00084747013
7537,1993,.239674572,1.483540141,.00022282329
1243,1993,.236697248,1.13506958,.00025016617
1794,1993,.252072069,1.750360705,.0007716188
1843,1993,.325831314,1.392091372,.00022135422
6173,1993,.348153926,1.447288011,.00012697603
6334,1993,.266296149,1.643947764,.0002644042
8113,1993,.307041309,1.64622344,.0010593615
3153,1993,.39677871,1.92991472,.0028174371
8606,1993,.129055306,3.502406267,.0019826735
8852,1993,.224652864,9.546891670999999,.0021590071
10507,1993,.389431445,1.476629594,.000071193921
1356,1993,.12352439,1.737540923,.00027694204
11288,1993,.113129388,6.515867876,.00083181914
3930,1993,.510918788,5.272142857,.00075949333
11535,1993,.042254771,4.261609296,.024527254
8214,1993,.298041819,-2.20598389,.0093837762
8972,1993,.003358634,2.076411051,.0014326548
10860,1993,.26785495,1.816891098,.00018918178
5250,1993,.192106211,2.514246871,.0029713581
9459,1993,.042229378,8.381387888000001,.00013109756
4393,1993,.260474281,1.674856738,.00027079333
3231,1993,.04821122,1.401888094,.00094959611
9392,1993,.300271743,1.911511782,.00097732479
8151,1993,.340342138,1.576848621,.0037760381
9906,1993,.304149554,1.819001469,.0002711032
5496,1993,.255579947,1.9391245,.0027123925
4603,1993,.380117826,1.006348219,.025223712
11465,1993,.138911857,2.94843568,.0023783331
8818,1993,.31009838,1.334011568,.00011104999
3278,1993,.036190411,12.58585866,.011220275
5492,1993,.240755311,1.344655218,.0066271517
7733,1993,.265560021,1.811277326,.0027937591
