yyyymmdd,yyyy,deal_value,public,private,tender_offer,all_stock,carbidder,bidder_size,sigma_bidder,run_up_bidder,hostile,horz,relsize,bidder_mtb,bidder_fcf,bidder_lev
20131201,2013,350,0,1,0,0,0.0294136,1180697,0.022036999,0.8296541,0,0,0.29166666,6.4809856,-0.42478657,0.48578927
20131126,2013,1819.25,1,0,1,0,0.1053916,1698611,0.0297853,1.265694,0,1,0.85692418,1.3014129,0.088256933,0
20131121,2013,5.7800002,0,1,0,0,0.035634998,33935.16,0.030107901,1.380787,0,0,0.16055556,1.9039481,0.006879628,0.039305903
20131120,2013,130,0,1,0,0,0.0077298,126065.3,0.038465399,0.48044649,0,0,1.1016949,1.5794797,-0.44314548,0.002716009
20131111,2013,320,0,1,0,0,0.22187629,1208927,0.0103764,0.90723181,0,1,0.26622295,2.7479479,0.1315718,0
20131107,2013,2677.3999,1,0,1,0,0.1297392,4204385,0.0142261,1.3569829,0,1,0.62468499,2.0160925,0.03426848,0.45723081
20131107,2013,50,0,1,0,0,0.0108064,499512.31,0.0150629,0.77344263,0,0,0.10660981,1.9897424,0.10752054,0.12985913
20131106,2013,87.5,0,1,0,0,-0.0424315,1033062,0.0284521,3.402158,0,1,0.069888182,1.3258356,0.18751341,0.74676675
20131105,2013,1561.1899,1,0,0,0,0.27482921,4925662,0.0179745,1.475623,0,1,0.30963704,1.2790996,-0.10474458,0.47182709
20131105,2013,219.12,1,0,1,0,-0.053495601,774207.69,0.0196025,1.038087,0,0,0.28984126,2.4134209,-0.003790012,0
20131104,2013,14.58,0,1,0,1,-0.0037062,1017725,0.015034,1.093248,0,1,0.013872502,1.841828,0.11788057,0.043148085
20131030,2013,119,0,1,0,0,-0.062244602,3252755,0.0145632,0.92522639,0,0,0.038914323,2.3939061,0.10223655,0.37826419
20131025,2013,2.29,0,1,0,0,-0.0092991,97011.203,0.019907599,1.532475,0,0,0.021009173,2.0119565,0.15205094,0.000437242
20131024,2013,622.81,1,0,0,0,0.072884798,3105253,0.0233921,1.573539,0,1,0.21845317,1.2160348,-0.08999408,0.47092679
20131021,2013,309.12,1,0,0,0,0.043682098,2417943,0.0152949,0.9837566,0,0,0.13070613,1.4569213,-0.01533885,0.40259066
20131010,2013,5357.4502,1,0,0,0,-0.043402798,5643402,0.0126794,1.156642,0,0,0.89574492,1.0281335,0.007796005,0.35033295
20131009,2013,255,0,1,0,0,0.0569534,1370071,0.0233829,1.333982,0,0,0.18708731,2.0064957,0.099987999,0.004256655
20131009,2013,158,0,1,0,1,-0.029634601,3001179,0.054884002,2.487015,0,1,0.056691784,1.4988773,-0.067243487,0.185675
20131007,2013,98,0,1,0,0,-0.036259301,2027904,0.014652,1.24029,0,0,0.04596623,1.0681828,0.029631207,0.24144125
20131003,2013,54,0,1,0,0,0.0188177,2433601,0.022110101,1.1574481,0,0,0.025519848,1.0569453,0.030169722,0.085031502
20130925,2013,1483.58,1,0,0,0,-0.0362041,26800000,0.0091153,1.07306,0,0,0.058874555,1.9264425,0.098288655,0.13221262
20130919,2013,408.79999,0,1,0,0,0.1356194,335070.5,0.0324408,0.96471179,0,1,1.0271356,1.0502043,0.018319795,0.60239691
20130919,2013,255,0,1,0,0,0.0017044,1384524,0.0260575,1.0773261,0,0,0.18987341,1.371918,0.028303517,0.00228101
20130916,2013,1983.61,1,0,1,0,0.1142455,5069599,0.0122092,1.284565,0,0,0.38058519,2.1435883,0.066762626,0.32746944
20130909,2013,18.549999,0,1,0,0,0.050393101,282486.41,0.0225469,0.84331143,0,0,0.062248319,2.1703572,0.018247964,0.51485324
20130909,2013,100,0,1,0,0,0.0157499,1550357,0.0152615,0.98378938,0,0,0.064020485,1.2135818,0.099876799,0
20130908,2013,1196.65,0,1,0,0,0.020074699,7331228,0.0143348,1.283527,0,1,0.14950649,1.2238255,0.057161756,0.077237397
20130903,2013,17.299999,0,1,0,0,0.0012258,469441.19,0.0188016,0.85788929,0,1,0.034257423,1.6477495,-0.025630664,0
20130830,2013,260,1,0,0,0,0.1269486,560024.69,0.0240057,1.432178,0,1,0.32745591,1.058639,-0.02462272,0.70109427
